id,packageName,owner,repo,dependencies
0,zoon,timcdlucas,zoon,,RCurl;dismo;raster;knitr;testthat;
1,zoon,zoonproject,zoon,,RCurl;dismo;rfigshare;methods;raster;knitr;testthat;gam;
2,cnpbayesunittests,jacobcvt12,CNPBayesUnitTests,,CNPBayes;knitr;BSgenome.Hsapiens.UCSC.hg19;testthat;Rcpp;RcppArmadillo;
3,damit,breenatheseira,damit,,
4,mirnatools,CharlesJB,mirnatools,,Biostrings;GenomicFeatures;testthat;
5,rvignetteexample,wibeasley,RVignetteExample,,stats;boot;colorspace;ggplot2;grid;lubridate;plyr;RColorBrewer;scales;testit;devtools;knitr;testthat;
6,prioritization,rkrug,prioritization,,spgrass6;
7,cafs,paulmanser,cafs,,survival;rms;mvtnorm;
8,cafr,weiyi-bitw,cafr,,methods;
9,seqframe,sheng-liu,SeqFrame,,flowCore;
10,driftout,evsusy,driftout,,methods;caret;plyr;ggplot2;chemosensors;reshape;grid;e1071;SparseM;doMC;
11,compete,jalapic,compete,,dplyr;igraph;reshape2;tidyr;PlayerRatings;knitr;ggplot2;testthat;
12,cleaver,sgibb,cleaver,,methods;Biostrings;S4Vectors;IRanges;testthat;knitr;BiocStyle;BRAIN;UniProt.ws;
13,evenn,NicolasCagnard,eVenn_v2.2.1,,grDevices;graphics;stats;utils;
14,lpbrim,PoisotLab,lpbrim,,Matrix;plyr;RColorBrewer;doMC;
15,paramisc,YulongNiu,ParaMisc,,
16,tferdash,jmcurran,tferDash,,tfer;shiny;shinydashboard;
17,litdata,agoldst,litdata,,rmarkdown;ggplot2;stringr;xtable;mallet;
18,multidimbio,scarpino,multiDimBio,,ggplot2;lme4;pcaMethods;misc3d;MASS;RColorBrewer;
19,pptree,EK-Lee,PPtree,,MASS;penalizedLDA;
20,rdataviewer,pmur002,rdataviewer,,methods;grid;RMySQL;tcltk;tkrplot;
21,jagstools,MichaelMalick,r-jagstools,,rjags;coda;parallel;iterators;doParallel;doMC;foreach;testthat;
22,jagstools,johnbaums,jagstools,,R2jags;rjags;
23,pints,cotsapaslab,PINTSv1,,BioNet;igraph;Matching;biomaRt;knitr;ggplot2;
24,mefm,robjhyndman,MEFM-package,,forecast;splines;
25,clisymbols,gaborcsardi,clisymbols,,testthat;
26,fasttime,s-u,fasttime,,
27,mefa,psolymos,mefa,,MASS;vegan;mefa4;Matrix;methods;
28,adegraphics,sdray,adegraphics,,ade4;graphics;grid;KernSmooth;lattice;methods;RColorBrewer;sp;stats;Guerry;maptools;pixmap;spdep;splancs;knitr;rmarkdown;
29,rcriteo,jburkhardt,RCriteo,,RCurl;XML;httr;plyr;
30,dawr,garrettgman,data,,
31,spec,swayland,spec,,testthat;roxygen2;
32,genomictuples,PeteHaitch,GenomicTuples,,GenomicRanges;GenomeInfoDb;S4Vectors;methods;BiocGenerics;Rcpp;IRanges;data.table;testthat;knitr;BiocStyle;rmarkdown;Rcpp;
33,morrisjs,Tutuchan,morrisjs,,htmlwidgets;zoo;digest;magrittr;xts;
34,medr,rparrish,medr,,hash;dplyr;knitr;
35,tm.plugin.korpus,unDocUMeantIt,tm.plugin.koRpus,,methods;koRpus;tm;testthat;
36,bpca,jcfaria,bpca,,scatterplot3d;rgl;
