pkgName,Repo,ExtDependencies
talkstats,trinker/talkstats,XML;RCurl
lifecontingencies,kainhofer/lifecontingencies,lifecontingencies;demography;parallel;forecast;methods
pressurehelper,jonasbhend/pressurehelper,insol;reshape2;XLConnect;ncdf
rtwmap,wush978/Rtwmap,sp
rfoursquare,jrodrigop/Rfoursquare,httr;jsonlite
mkmisc,genome-vendor/r-cran-mkmisc,robustbase;RColorBrewer;graphics;stats
read.csv.sql,alyssafrazee/read.csv.sql,proto;RSQLite.extfuns;gsubfn
geolight,mdsumner/GeoLight,changepoint;maps
cowplot,wilkelab/cowplot,ggplot2;cowplot;grid
chinaweather,bsspirit/chinaWeatherDemo,testthat
accidents,henvic/accidents,shiny;visualizationTools
googleapi,siddharthab/GoogleAPI,httr;httpuv;base64enc;methods;jsonlite
rmongodb.quick,stanstrup/rmongodb.quick,RUnit;rmongodb.quick;rmongodb
generalgcrma,jotsetung/generalgcrma,splines;affyPLM;RColorBrewer;gcrma;preprocessCore;methods;Biostrings
abscnseq,dakl/absCNseq,data.table
tracerkinetic,HGGM-LIM/tracerkinetic,minpack.lm;nnls
resumator,hornbeck/resumatoR,RJSONIO;testthat;RCurl
qtl,byandell/qtl,tools;graphics;qtl;utils;stats
exampledoc,skranz/ExampleDoc,restorepoint;digest;devtools;RMaxima
freegeoip,luiscape/cpser,translate;rjson;RCurl
postgwas,merns/postgwas,gdata;grid;org.Hs.eg.db;postgwas;parallel;igraph;gtools;lattice;GO.db;Rgraphviz;GenABEL;genetics;graph;AnnotationDbi;coin;RBGL;annotate;biomaRt;data.table;xtable;topGO
eiaenergy,tomhopper/eiaenergy,ggplot2;XLConnect;plyr
circly,wkostelecki/circly,dplyr;circlize;testthat;ggplot2;circly
treeprof,brodieG/treeprof,shiny;plyr;stringr;functools;testor;datasets;treeprof;stackbench;data.table
ei,IQSS/ei,mnormt;rgl;plotrix;ei;ellipse;foreach;MASS;cubature;mvtnorm;tmvtnorm;sp;eiPack;grDevices;msm;ucminf
sentimentafinn,benporter/sentimentAFINN,stringr;tm;ggplot2;sqldf
datras,einarhjorleifsson/datras,stringr;XML;RCurl
stepcat,hkrefer/stepCAT,catR;tcltk
ibuttonr,aammd/ibuttonr,ibuttonr;testthat
berrylogo,leipzig/berrylogo,ggplot2;reshape2;plyr
webmaps,RCura/webmaps,shiny;splancs;pixmap;brew;rgdal;webmaps;sp;devtools
powerr,Ambaboo/powerr,Rcpp;Matrix;methods;RcppEigen
svoccr,luca-marotta/svoccr,igraph;plyr
gwselect,wrbrooks/gwselect,glmnet;plotrix;lars;ggplot2;doMC;sp;scales
panther.db,ju-mu/PANTHER.db,RCurl;AnnotationDbi;RSQLite;methods;utils
cobindr,cobindr/source,rtfbs;yaml;mclust;Biostrings;rGADEM;IRanges;gplots;parallel;BSgenome;VennDiagram;snow;methods;seqinr;biomaRt;snowfall;gmp
msprocess,zeehio/msProcess,robust;pkgutils;ifultools;splus2R;MASS;DBI;quantreg;XML;graphics;methods;wmtsa;stats
rmfnotifier,rmflight/rmfNotifier,twitteR;devtools;packageName
lmer.slimr,kbicknell/lmer.slimr,lme4;MASS;parallel
additivitytests,simecek/additivityTests,additivityTests
datalog,edwindj/datalog,futile.logger
knitro,romainfrancois/KNITRO,Rcpp;methods;KNITRO
seasonality,basille/seasonality,cluster
slp,wesleyburr/slp,mgcv
cmdsr,ginagruenhage/cmdsr,googleVis;plyr;Rcpp;smacof;RcppArmadillo;animation
oilsandstools,fridde/OilSandsTools,tcltk
rjpstatdb,i-kiwamu/Rjpstatdb,methods;XML;RCurl
rmocks,jpsimonroy/rmocks,methods
svmisc,shvenkat/SVmisc,proto;gridExtra;plyr;grid;kinshipExtra;ggplot2;reshape2;scales
phreg,tagteam/phreg,splines;numDeriv;pec;Rcpp;lava;RcppArmadillo;compiler;survival;prodlim
lock5data,rpruim/Lock5Data,Lock5Data;lubridate;manipulate;lattice;mosaic
pbh5,PacificBiosciences/R-pbh5,pbls;IRanges;pbh5;methods;utils;h5r
objectwidgets,ggobi/objectWidgets,objectProperties;methods;objectSignals
amsstats,butwhywhy/amsstats,plotrix;boot;testthat
future,Dasonk/future,devtools
knitpost,cpsievert/knitPost,RColorBrewer;hexbin;devtools;knitPost;animation;Cairo;knitr
simulatorz,zhangyuqing/simulatorZ,GenomicRanges;curatedOvarianData;Biobase;gbm;superpc;survival;graphics;simulatorZ;CoxBoost;parathyroidSE;Hmisc;stats
frulhns,jefferis/frulhns,rgl
ggplots,johnmyleswhite/ggplots,reshape;ggplot2;testthat
brooks,wrbrooks/brooks,plotrix;RColorBrewer;RCurl;grid;ggplot2;xtable;devtools
mhnet,simecek/mhnet,Rgraphviz;bnlearn
rmendeley,ropensci/RMendeley,mc;plyr;RCurl;RJSONIO;ROAuth;methods
vcdextra,friendly/vcdExtra,rgl;vcd;ca;vcdExtra;MASS;effects;nnet;gnm
rscape,meggart/RSCAPE,plyr;testthat;forecast;zoo;spectral.methods;wmtsa;EMD
cgiwithr,duncantl/CGIwithR,R2HTML;utils
rmdtemplates,Pakillo/rmdTemplates,base64enc;knitcitations;knitr;rmarkdown
minir,andeek/miniR,lubridate
rexpar,ChrisKust/rexpar,matrixcalc;parallel;alphahull;MASS;rexpar;stats
survcompetingrisk,mdbrown/survCompetingRisk,survival
cadeallstar,darrkj/CadeAllStar,randomForest;XML;lubridate;plyr
lineage,jwills/lineage,RProtoBuf
paradox,jdyeakel/paradox,RColorBrewer;plyr;foreach;doParallel;manipulate;paradox;reshape2
yo,dichika/yo,httr
betydb.tools,dlebauer/betydb-tools,ggplot2;xtable;lubridate;data.table;reshape2
